Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
The Divine Comedy,Dante Alighieri,Classics,Poetry,Fiction,Literature,Philosophy,Religion,Fantasy,the divine comedy dante alighieri classics poetry fiction literature philosophy religion fantasy
A Midsummer Night's Dream,William Shakespeare,Classics,Plays,Fiction,Fantasy,Drama,School,Romance,a midsummer nights dream william shakespeare classics plays fiction fantasy drama school romance
A Story of Yesterday,Sergio Cobo,Spanish Literature,Thriller,European Literature,Mystery,Magical Realism,Fiction,Drama,a story of yesterday sergio cobo spanish literature thriller european literature mystery magical realism fiction drama
The Prophet,Kahlil Gibran,Poetry,Classics,Philosophy,Fiction,Spirituality,Religion,Literature,the prophet kahlil gibran poetry classics philosophy fiction spirituality religion literature
Persuasion,Jane Austen,Classics,Fiction,Romance,Historical Fiction,Literature,Historical,Audiobook,persuasion jane austen classics fiction romance historical fiction literature historical audiobook
The Name of the Rose,Umberto Eco,Fiction,Historical Fiction,Mystery,Classics,Historical,Literature,Italian Literature,the name of the rose umberto eco fiction historical fiction mystery classics historical literature italian literature
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,Classics,Fiction,Historical Fiction,Adventure,France,Literature,Historical,the three musketeers the dartagnan romances  alexandre dumas classics fiction historical fiction adventure france literature historical
Water for Elephants,Sara Gruen,Fiction,Historical Fiction,Romance,Historical,Adult,Adult Fiction,Contemporary,water for elephants sara gruen fiction historical fiction romance historical adult adult fiction contemporary
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,Fantasy,Young Adult,Fiction,Childrens,Adventure,Middle Grade,Science Fiction,the golden compass his dark materials  philip pullman fantasy young adult fiction childrens adventure middle grade science fiction
The Boy in the Striped Pajamas,John Boyne,Historical Fiction,Fiction,Young Adult,Historical,Classics,Holocaust,War,the boy in the striped pajamas john boyne historical fiction fiction young adult historical classics holocaust war
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,Historical Fiction,Fiction,Historical,Fantasy,Classics,Medieval,Audiobook,the pillars of the earth kingsbridge  ken follett historical fiction fiction historical fantasy classics medieval audiobook
How the Grinch Stole Christmas!,Dr. Seuss,Childrens,Picture Books,Christmas,Classics,Fiction,Poetry,Fantasy,how the grinch stole christmas dr seuss childrens picture books christmas classics fiction poetry fantasy
Jonathan Livingston Seagull,Richard Bach,Fiction,Classics,Philosophy,Fantasy,Spirituality,Inspirational,Self Help,jonathan livingston seagull richard bach fiction classics philosophy fantasy spirituality inspirational self help
Oliver Twist,Charles Dickens,Classics,Fiction,Historical Fiction,Literature,19th Century,Novels,Classic Literature,oliver twist charles dickens classics fiction historical fiction literature th century novels classic literature
The Secret Life of Bees,Sue Monk Kidd,Fiction,Historical Fiction,Young Adult,Classics,Historical,Contemporary,Adult Fiction,the secret life of bees sue monk kidd fiction historical fiction young adult classics historical contemporary adult fiction
"The Notebook (The Notebook, #1)",Nicholas Sparks,Romance,Fiction,Chick Lit,Contemporary,Adult,Adult Fiction,Classics,the notebook the notebook  nicholas sparks romance fiction chick lit contemporary adult adult fiction classics
The Master and Margarita,Mikhail Bulgakov,Classics,Fiction,Russia,Fantasy,Russian Literature,Magical Realism,Literature,the master and margarita mikhail bulgakov classics fiction russia fantasy russian literature magical realism literature
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,mockingjay the hunger games  suzanne collins young adult dystopia fiction fantasy science fiction romance adventure
The Complete Sherlock Holmes,Arthur Conan Doyle,Classics,Mystery,Fiction,Crime,Short Stories,Detective,Literature,the complete sherlock holmes arthur conan doyle classics mystery fiction crime short stories detective literature
In Cold Blood,Truman Capote,Nonfiction,True Crime,Classics,Crime,Mystery,History,Thriller,in cold blood truman capote nonfiction true crime classics crime mystery history thriller
The Crucible: A Play in Four Acts,Arthur  Miller,Classics,Plays,Fiction,Historical Fiction,School,Drama,Read For School,the crucible a play in four acts arthur  miller classics plays fiction historical fiction school drama read for school
Heart of Darkness,Joseph Conrad,Classics,Fiction,Literature,Africa,Historical Fiction,School,Novels,heart of darkness joseph conrad classics fiction literature africa historical fiction school novels
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,Fiction,Historical Fiction,Mystery,Fantasy,Books About Books,Historical,Spain,the shadow of the wind the cemetery of forgotten books  carlos ruiz zafn fiction historical fiction mystery fantasy books about books historical spain
The Red Tent,Anita Diamant,Historical Fiction,Fiction,Historical,Religion,Book Club,Feminism,Adult,the red tent anita diamant historical fiction fiction historical religion book club feminism adult
Love in the Time of Cholera,Gabriel García Márquez,Fiction,Classics,Historical Fiction,Romance,Magical Realism,Literature,Novels,love in the time of cholera gabriel garca mrquez fiction classics historical fiction romance magical realism literature novels
The Glass Castle,Jeannette Walls,Nonfiction,Memoir,Biography,Biography Memoir,Autobiography,Book Club,Adult,the glass castle jeannette walls nonfiction memoir biography biography memoir autobiography book club adult
The Gift of the Magi,O. Henry,Classics,Short Stories,Fiction,Christmas,Romance,Holiday,Literature,the gift of the magi o henry classics short stories fiction christmas romance holiday literature
The Unbearable Lightness of Being,Milan Kundera,Fiction,Classics,Philosophy,Literature,Novels,Czech Literature,Romance,the unbearable lightness of being milan kundera fiction classics philosophy literature novels czech literature romance
"Eat, Pray, Love",Elizabeth Gilbert,Nonfiction,Memoir,Travel,Biography,Romance,Chick Lit,Spirituality,eat pray love elizabeth gilbert nonfiction memoir travel biography romance chick lit spirituality
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,Horror,Fantasy,Fiction,Vampires,Paranormal,Classics,Gothic,interview with the vampire the vampire chronicles  anne rice horror fantasy fiction vampires paranormal classics gothic
The Canterbury Tales,Geoffrey Chaucer,Classics,Fiction,Poetry,Literature,School,Medieval,Short Stories,the canterbury tales geoffrey chaucer classics fiction poetry literature school medieval short stories
On the Road,Jack Kerouac,Classics,Fiction,Travel,Literature,Novels,American,Adventure,on the road jack kerouac classics fiction travel literature novels american adventure
The Art of War,Sun Tzu,Classics,Nonfiction,Philosophy,History,War,Politics,Business,the art of war sun tzu classics nonfiction philosophy history war politics business
Aesop's Fables,Aesop,Classics,Fiction,Short Stories,Childrens,Fantasy,Literature,Mythology,aesops fables aesop classics fiction short stories childrens fantasy literature mythology
The Screwtape Letters,C.S. Lewis,Fiction,Christian,Classics,Religion,Christianity,Fantasy,Theology,the screwtape letters cs lewis fiction christian classics religion christianity fantasy theology
Fight Club,Chuck Palahniuk,Fiction,Classics,Contemporary,Thriller,Novels,Mystery,Adult,fight club chuck palahniuk fiction classics contemporary thriller novels mystery adult
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Fantasy,Fiction,Classics,Adventure,Science Fiction Fantasy,Epic Fantasy,High Fantasy,jrr tolkien book boxed set the hobbit and the lord of the rings jrr tolkien fantasy fiction classics adventure science fiction fantasy epic fantasy high fantasy
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,dr jekyll and mr hyde robert louis stevenson classics horror fiction science fiction mystery gothic fantasy
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,Classics,Fiction,Fantasy,Adventure,Literature,Novels,18th Century,gullivers travels travels into several remote nations of the world jonathan swift classics fiction fantasy adventure literature novels th century
"The Godfather (The Godfather, #1)",Mario Puzo,Fiction,Classics,Crime,Thriller,Historical Fiction,Mystery,Novels,the godfather the godfather  mario puzo fiction classics crime thriller historical fiction mystery novels
Robinson Crusoe,Daniel Defoe,Classics,Fiction,Adventure,Literature,Historical Fiction,Novels,18th Century,robinson crusoe daniel defoe classics fiction adventure literature historical fiction novels th century
Walden,Henry David Thoreau,Classics,Philosophy,Nonfiction,Nature,Memoir,Literature,Biography,walden henry david thoreau classics philosophy nonfiction nature memoir literature biography
The Origin of Species,Charles Darwin,Science,Nonfiction,Classics,Biology,Evolution,Philosophy,History,the origin of species charles darwin science nonfiction classics biology evolution philosophy history
Invisible Man,Ralph Ellison,Classics,Fiction,Literature,Race,Historical Fiction,African American,Novels,invisible man ralph ellison classics fiction literature race historical fiction african american novels
Emma,Jane Austen,Classics,Fiction,Romance,Historical Fiction,Literature,Historical,Audiobook,emma jane austen classics fiction romance historical fiction literature historical audiobook
The Prince,Niccolò Machiavelli,Classics,Philosophy,Nonfiction,Politics,History,Literature,Political Science,the prince niccol machiavelli classics philosophy nonfiction politics history literature political science
Sophie's World,Jostein Gaarder,Philosophy,Fiction,Classics,Young Adult,Novels,Fantasy,Literature,sophies world jostein gaarder philosophy fiction classics young adult novels fantasy literature
The Complete Grimm's Fairy Tales,Jacob Grimm,Classics,Fantasy,Fiction,Fairy Tales,Short Stories,Childrens,Literature,the complete grimms fairy tales jacob grimm classics fantasy fiction fairy tales short stories childrens literature
The Trial,Franz Kafka,Classics,Fiction,Philosophy,Literature,German Literature,Novels,Dystopia,the trial franz kafka classics fiction philosophy literature german literature novels dystopia
The Time Machine,H.G. Wells,Classics,Science Fiction,Fiction,Time Travel,Fantasy,Dystopia,Literature,the time machine hg wells classics science fiction fiction time travel fantasy dystopia literature
"Watchmen (Watchmen, #1-12)",Alan Moore,Graphic Novels,Comics,Fiction,Science Fiction,Fantasy,Graphic Novels Comics,Comic Book,watchmen watchmen  alan moore graphic novels comics fiction science fiction fantasy graphic novels comics comic book
Roots: The Saga of an American Family,Alex Haley,Historical Fiction,Fiction,Classics,Historical,African American,Africa,Race,roots the saga of an american family alex haley historical fiction fiction classics historical african american africa race
Candide,Voltaire,Classics,Fiction,Philosophy,France,Literature,Humor,French Literature,candide voltaire classics fiction philosophy france literature humor french literature
Beloved,Toni Morrison,Fiction,Classics,Historical Fiction,Magical Realism,Literature,Historical,School,beloved toni morrison fiction classics historical fiction magical realism literature historical school
